years,model_0,model_1,model_2,model_3,model_4,model_5,model_6,model_7,model_8,model_9,model_10,model_11,model_12,model_13,model_14,model_15
1875,-0.030201001,1.063185924,0.819088668,-0.258965817,-1.294382823,-1.322707824,-1.682490314,0.787112152,-0.694232944,-0.601571964,-1.42575953,-1.001183063,-1.460050061,-1.082569629,1.244271579,0.076103854
1876,0.748214629,-0.567122005,0.200701725,-0.684366044,-2.473090955,-0.728953864,1.000201858,1.270938638,-0.173343376,0.045696786,0.624417916,0.048011206,-0.478581073,-0.196210785,-0.154877007,0.310843299
1877,0.616386918,-0.642973777,-2.163925266,2.119355874,0.083858444,1.205171177,0.12296927,-1.14562999,0.825325073,-1.626903261,1.46071477,-0.34525072,-0.362544212,-0.153590694,-0.262410086,1.795133026
1878,0.244487408,1.179965297,0.4922117,1.032966736,0.082436316,-0.562929882,-0.95897454,-0.203593805,0.673849274,0.588460739,-0.024016943,-0.058897764,2.128490288,-2.932301852,-2.470599715,-0.624878693
1879,-0.251456836,-1.363517264,0.098278287,1.405515288,-0.093115069,-0.440323084,-1.174224807,1.651659452,1.202409168,0.146835931,-1.418209407,-0.205862357,-0.955114728,0.374351936,0.209996069,0.722894825
1880,2.020811752,0.165273756,-0.688175919,0.626196536,-0.4090017,-0.209592477,1.089011946,-0.968730064,1.178089591,-2.154533467,-3.968354021,-0.378604674,-0.253359993,1.289047717,0.808617004,1.57550606
1881,0.699404261,-0.311570805,0.494999013,-1.618634537,0.040533118,0.780111447,1.863495545,-1.292003056,0.206098725,2.721910277,-1.293570633,-0.657408262,3.173925453,0.703458606,-0.225281999,-0.815784447
1882,0.670860364,2.088674725,0.720509926,0.01450879,-0.287000712,-0.336550591,-0.166753705,-0.388836826,-0.024120848,-1.577375583,0.556753205,0.692986818,1.038561427,-0.010745243,-1.892758748,-1.431559834
1883,1.353842673,2.455609742,1.13684056,0.375308668,1.505150575,-0.7607701,-0.001068791,0.895723179,1.489113213,-0.906354376,0.482624832,-1.365203493,0.391784994,1.031865155,-0.729098927,-1.504554646
1884,-0.717063735,-0.566783014,-0.293672709,-0.734879334,-0.421800255,0.552222325,1.069869009,0.965222333,0.64800555,-0.932503636,-0.852239444,0.317943308,0.054630379,-0.532629729,-1.079076508,1.36700852
1885,-1.218014282,0.936975563,-0.380719478,0.765802689,-2.155813222,-0.012263182,-0.098739628,-1.005684427,-1.244738645,-0.592928068,0.220699706,0.218643317,-0.874088496,-0.887101623,0.689227083,1.002435147
1886,0.429489374,-1.073390739,-0.139317575,-1.085643981,-0.463939091,1.114924939,1.7992669,-0.541040615,-0.796729755,1.014776899,-0.355625587,0.61424127,-0.57889758,0.496760277,0.140544226,-1.511974211
1887,-0.040437572,-1.212350739,-0.624592968,-0.531584303,-0.791462894,-0.059214943,-0.181643177,1.621958959,-0.334703792,-0.165492486,0.609159421,-1.816379281,-1.413983469,0.952239665,-0.856410585,-3.305273562
1888,-0.950555745,0.123140354,-0.765444589,-0.053343539,-0.012879946,1.70956059,1.576857986,-0.828939297,-0.777825815,-1.153593244,0.636849068,1.303410626,0.843110066,0.016798779,2.444334063,0.397550319
1889,-0.558019824,0.483624651,-0.988238007,2.465272559,-0.135784681,-1.056445429,-1.360961462,0.670422805,0.295000696,-1.902519755,0.399861538,-1.367211205,-1.00419434,0.817212706,1.13215515,0.62372633
1890,0.143739523,-0.216265795,-0.273231407,0.036969426,-0.983335337,-0.906059946,-0.193671362,0.677389747,0.426190425,0.591425134,0.227923278,-0.437644863,-0.54934295,-0.769554293,-0.205027327,-0.416740514
1891,0.614664773,-0.90150019,1.443333179,0.31607549,-1.190504596,-0.559232006,-1.18393189,-1.861944285,-1.235309022,0.507646269,-0.567412029,0.494449186,-0.031903165,0.182898338,0.323398209,1.384473566
1892,-0.657494483,0.079434238,1.218318571,-2.417914529,1.184116323,-0.475218549,-0.893353716,0.292169049,1.658139597,-0.385985433,-0.249603011,0.4700794,-0.272396552,0.493362435,1.125946165,0.531888784
1893,-0.184999108,-0.740447616,-1.936702665,-0.396997888,1.416913228,0.114044539,-0.101789496,1.275531044,1.052486601,-1.545488535,0.563255837,-0.261881818,1.497273813,0.824472125,0.49008556,-1.892845509
1894,-1.002156908,-1.833454595,-0.238108413,1.531352568,0.310222336,-2.387842194,-0.295549924,-0.537231484,-0.60676234,1.651720715,-1.44081978,1.279009754,0.348897046,-0.696181509,-0.166776813,-0.801378727
1895,1.27334204,-1.306337999,-0.732592143,1.698870922,-1.046460822,0.128515574,-0.009691963,-0.445191255,-1.041362211,-0.288032119,-1.264700345,0.269920189,1.174443756,-0.470366115,0.578952124,1.123540405
1896,-0.733014117,0.904709793,0.649310704,0.38057292,0.247493204,-0.251361223,1.064651229,-0.184210219,-0.489081769,-1.413657069,-0.468828573,-1.312364217,-1.930202628,-0.621576924,0.982440023,1.293506535
1897,1.527440796,0.581836469,-1.56741759,-0.778899748,-0.073826383,0.73362117,0.720309131,-0.708091117,0.089327819,-0.141601925,-1.012566859,1.270611829,-0.533383235,0.127809862,0.170009148,-1.763407015
1898,0.839836332,0.451045317,0.434846015,0.60405633,0.73799346,1.465085968,-0.984429089,0.087205632,0.298666878,0.976671787,-0.557785457,-0.44559667,-0.9250128,-2.193575383,1.215271644,-0.18636541
1899,1.032632451,-1.992460104,1.037354456,-0.769934713,-0.502378144,-0.320822987,0.13299502,0.728620047,-0.950141192,-0.560063089,0.984796371,0.958520382,-0.307809137,-1.943862398,-0.62166714,-0.369157571
1900,-0.357953428,1.213752569,0.568371468,0.998996266,2.231221737,-0.599717987,-0.920978303,1.385355022,-0.035068781,0.186196039,0.317951558,0.742440772,-0.142779925,-0.468083148,-1.518500275,1.00425332
1901,-0.537983982,1.763023113,-0.434417778,0.333821473,-0.748167101,0.6515828,0.384372816,-0.093553506,1.032302348,0.043952203,0.717590267,0.475466665,-1.235077639,2.06790062,-1.298095602,-0.382028867
1902,0.119685734,-1.326357015,-1.326380702,0.394085961,-0.351814464,0.753884596,0.53308516,-2.44910175,1.666387123,1.505262716,-0.499411484,0.069616375,-0.675801705,0.769657711,-1.766901565,-1.521526724
1903,-1.202988512,-1.376157432,0.275906658,0.390956182,-0.540440002,1.621118365,2.322657313,0.630268685,0.847723793,1.835601242,2.018764278,1.176103374,-0.983249224,-0.924604039,0.663034596,0.273498625
1904,0.764241173,2.317485729,-0.547995084,1.741622657,0.818244587,1.376673704,0.713618337,1.16993139,-0.801705273,1.529101484,0.853305908,0.163365879,-0.531811877,-0.438180009,-0.112345837,2.361081463
1905,-0.349387014,-0.37028262,0.996108755,-0.390108018,0.378067097,-0.78578172,-2.247119995,0.705903981,0.622997879,1.659629427,0.697117204,0.819153017,0.209562277,0.449887338,-0.405183391,-0.750507811
1906,0.140160762,-2.099098435,-0.53974292,0.557981115,-0.22284032,-2.675399393,-1.168199125,0.278500455,0.427869601,1.013205514,1.092722873,1.842793327,1.412917905,0.434735685,0.768953002,-0.384981817
1907,1.904060526,1.009814057,-1.278197618,-0.956417938,0.37537488,1.347782444,0.724039601,0.168920892,2.000403319,-0.200310768,0.387810109,0.059414236,0.27718293,-3.479715599,0.280858606,-0.614610328
1908,1.017310361,0.196747127,-1.258713627,0.559075123,0.181616666,-0.20478909,0.948821208,1.196534239,-0.830334826,-0.495726977,0.666350429,-0.571072453,0.878858528,-0.433835825,-0.268021271,0.835283817
1909,1.905998863,0.286771963,0.570840765,-1.2445855,-0.973207528,-0.802816024,-0.708335973,-0.573552763,0.754993811,-1.140074461,0.6761571,0.578864308,0.192402604,0.766549804,0.454263982,0.321955695
1910,0.264583313,1.034131305,0.976908828,0.964759848,-0.863990435,-0.181560748,0.658382084,-0.796629378,-1.067946806,1.127736481,1.469924982,-1.962013795,1.985404636,-1.538493533,0.076485462,-0.386584038
