years,model1,model2,model3,model4,model5,model6,model7,model8,model9,model10,model11,model12,model13,model14,model15,model16
1850,1347.73159,733.0778547,1400.321167,843.2471177,1789.691691,1426.271954,1012.754867,938.9335946,935.2048581,1156.844267,332.5082469,2082.53171,1555.163187,1170.065345,1172.150008,1214.771904
1851,1332.947064,853.3308347,1430.087838,730.7753918,1571.582609,1386.606581,980.5741866,1130.802427,1069.404176,1197.574223,423.5069161,1669.389482,1562.82351,958.8336618,1201.23268,1266.742313
1852,1425.715196,926.992203,1328.963246,776.9319678,1552.786942,1460.70741,1026.678665,632.030673,1212.736586,1180.185427,348.0884582,1691.240079,1431.664012,1319.649364,1195.759268,765.8519947
1853,1351.825184,966.9630338,1195.356974,686.3346918,1960.475095,1313.665803,741.0593119,487.527535,1116.778735,704.1717279,423.2133178,2017.189975,1416.816637,1095.120946,1005.74082,1089.445009
1854,1365.60787,901.4241564,1391.40943,839.3555491,1232.21997,1019.979811,1029.207945,644.487736,1143.219748,1159.281612,289.2477991,1733.062799,1357.906795,1152.742974,1211.397965,863.1231919
1855,1576.671766,931.7306931,1246.437217,733.9651785,1341.665926,1386.579483,1028.390625,640.868451,1150.887184,953.1320721,363.5159028,1962.698021,1560.056405,1364.47612,846.0248768,709.9819297
1856,1178.07157,718.5304432,818.1958569,836.1714977,1762.952545,1297.423515,1083.219027,870.1161154,1237.140573,1154.296703,277.1000351,1850.878421,1367.707545,885.2899543,1350.568182,862.5603327
1857,1243.100866,754.4237784,1334.102109,722.6932369,1847.326432,1137.607056,781.7708501,759.3689445,1132.666409,1369.837896,344.094727,2037.458152,1419.955675,1245.863467,880.6221902,992.9456749
1858,1205.594609,768.7500221,1277.736939,727.4582394,2314.971208,1390.024916,996.5380623,698.0937143,1075.433869,1077.733304,471.8167626,2117.093459,1516.495381,941.7098719,1140.284213,848.1752176
1859,1148.315073,699.9877451,1397.315295,794.8324897,1511.732235,1550.575195,1019.598315,819.9906769,1074.251494,1494.089555,250.5886876,1340.438736,1563.096484,1300.252083,1361.316313,623.5889307
1860,1398.848537,776.8291809,1605.271702,843.2017476,1879.562074,1393.053174,975.9794957,700.2022857,1285.799912,1319.020789,421.89848,1871.628685,1485.140823,1120.498547,1052.362834,983.6513069
1861,903.0996972,968.3566525,1234.599658,883.0209613,1432.239435,1594.787881,948.8561356,863.1394827,1005.194696,1431.524966,279.0529706,1800.206326,1644.005032,1159.684957,1006.658597,640.7197853
1862,1446.699572,788.4171779,1528.681361,603.9196565,1484.68367,1234.807647,829.3573023,653.6150389,1125.288892,1446.264886,460.2368599,2127.576374,1525.928409,1103.624692,1215.787875,940.7633828
1863,1276.610891,748.5107122,1442.323301,845.1599908,2013.946073,1283.823273,993.9935996,568.6861313,1065.312807,1192.239842,255.8444147,2381.100302,1450.871502,1207.890426,1302.841697,858.0179927
1864,1075.812416,758.7931577,1087.270492,707.7213949,1671.563483,1532.103729,1000.600897,1045.46249,1026.781453,1095.685322,320.3513912,1886.06276,1609.262632,1402.865799,1056.744625,961.7100881
1865,1144.47961,733.9117733,1170.512694,776.6519949,2152.352739,1370.269017,879.8708776,698.0998108,993.7091341,893.5649095,552.9206421,1660.477855,1519.77224,1212.525368,1177.777281,625.6246599
1866,1339.925727,699.2556718,1089.816074,573.1790063,1720.20868,1357.582895,769.3239478,701.4444326,1010.560364,1328.514587,461.1160973,1872.44277,1363.000531,1179.338914,1074.613889,703.2169484
1867,856.6972288,833.4661704,1366.551805,629.4309642,1489.302512,1269.527579,1020.724067,876.6272512,1236.671297,1416.769689,484.47922,1982.945373,1726.083207,1382.464716,1088.432961,582.9439701
1868,1182.969455,779.277693,1261.9982,632.3293101,1335.145451,1362.834194,1101.225883,808.1250409,1115.092365,1442.494171,523.0135869,1736.558133,1769.436669,1322.050245,774.3424938,840.849504
1869,1356.440893,814.3713321,1224.573541,566.8572631,1623.355359,1224.361751,1013.534597,616.9157915,1091.208751,1282.644808,574.8643388,1786.256099,1471.871049,1616.625646,937.0290211,961.2066711
1870,1184.686871,916.1831738,1146.38342,712.9126725,1635.39611,1188.143929,1203.905305,1029.003822,1212.62725,1100.42472,332.6266068,1575.425989,1291.246375,1121.75086,1476.478022,743.5604798
1871,1418.320301,963.4566084,880.4175413,721.1369837,1537.52912,1442.091021,1266.15472,498.6055405,1109.417729,1275.019059,260.7502579,1842.304792,1585.536764,989.0466067,1252.615373,771.6157496
1872,1208.444295,746.2543643,1377.649036,694.6981906,1983.486113,1400.307738,960.5148691,652.0610308,997.7226483,1363.34274,288.0972594,1871.584661,1440.273362,1378.981205,936.7053028,771.2265314
1873,1122.285868,801.8162219,1420.712842,778.8246388,1869.726302,1297.992096,759.414721,1105.963785,1071.064506,1512.760934,308.1196107,2020.712889,1553.236417,1003.066788,1215.043674,606.7357294
1874,1080.477881,738.9518905,1703.018009,865.107067,1984.636289,1227.320582,884.6760076,746.6431317,1155.665104,1204.929801,380.8764377,1945.941154,1244.722796,1120.437918,933.7606979,818.4216354
1875,1046.566218,816.0291214,1164.915534,650.6746228,1819.976333,1158.754561,902.4319008,771.7073455,1127.169577,1563.432898,267.7211574,2305.589275,1407.483038,1195.36077,1319.052925,610.2261665
1876,1523.49618,771.8153489,1127.757898,614.3458106,1988.17276,956.9298017,1270.526868,603.5149249,1167.432432,1478.073447,291.8732641,2026.0718,1603.466588,1383.001774,1492.176715,825.1800935
1877,1124.016046,1048.41859,1059.400788,736.8702258,1753.083221,1036.915372,1183.395582,670.4385095,1213.848265,1337.650818,325.9545384,2032.205588,1609.075934,1454.637126,797.4725704,993.4037438
1878,968.105658,542.8858771,1079.77409,751.9958968,1686.921181,1069.085663,933.0080519,910.7871207,1035.919601,1070.465249,406.2218264,2060.683006,1448.860207,1518.511084,935.0347837,936.481389
1879,1037.033192,749.2234794,1182.234529,816.2842012,1322.946722,1304.305107,960.5038237,910.6886122,1225.319683,1238.525514,401.7775474,2056.192402,1332.968667,1342.986978,960.7118471,819.6448995
1880,1276.866182,826.0248378,1191.962368,799.6617799,1465.040552,1214.849184,949.4744778,650.1450899,1217.067645,1396.123364,200.4206807,1862.240721,1420.204071,1711.564005,1422.33732,590.5641671
1881,1300.428987,664.157485,1477.118913,705.4950155,1627.75932,1183.009426,1114.639647,593.077583,1101.793288,1428.431263,525.214605,2145.907637,1424.546963,816.7086699,1214.269247,659.9689147
1882,1069.630241,1115.383345,1137.599313,791.9571428,1715.646414,1409.449979,1177.4736,638.722053,1323.369711,1353.76167,373.4462014,1994.596308,1664.619964,1130.851752,1055.600294,916.4446985
1883,944.2917527,1064.436919,1570.294949,652.0270941,2109.125034,1212.132742,1049.870434,867.6508945,1099.71802,1549.08853,306.4500702,1489.791199,1470.825074,1434.48728,1564.539403,927.5999296
