years,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
1850,0.564700806,-0.95497337,0.805074719,0.883521523,0.408721145,1.033044718,0.323265072,0.907076644,-1.747807314,-0.615322798,-0.416120891,0.927180713,0.44821603,-0.395734933,0.320778101,2.340198262
1851,0.492327724,0.205288782,0.979916611,-0.226115215,-0.435929314,0.719702086,0.067074569,1.834414124,-0.523526518,-0.386418573,0.550705941,-1.051016989,0.514670816,-1.398233619,0.459281197,2.66443258
1852,0.946445446,0.916011274,0.385936353,0.229261744,-0.508717519,1.305072828,0.434112474,-0.576241821,0.784074139,-0.484144404,-0.250586972,-0.946392483,-0.623163252,0.314185951,0.433214661,-0.460534766
1853,0.584739728,1.301670259,-0.398833074,-0.664563483,1.070097918,0.143495345,-1.839704138,-1.274652157,-0.09133533,-3.159363252,0.547586569,0.614312985,-0.751967107,-0.751418609,-0.471727766,1.558305617
1854,0.652208611,0.669317706,0.752729431,0.84512763,-1.750146984,-2.176521706,0.454248082,-0.516034536,0.149882166,-0.601624809,-0.875746973,-0.746137939,-1.263021403,-0.477946339,0.507692276,0.146323271
1855,1.685406689,0.961730647,-0.098800655,-0.194645044,-1.326305957,0.719488022,0.447741396,-0.533527208,0.219831069,-1.760194687,-0.086676143,0.35339592,0.490665651,0.526932274,-1.232357771,-0.809098359
1856,-0.265817393,-1.095334224,-2.614182016,0.813714042,0.305170977,0.015186922,0.884230484,0.574469066,1.006708145,-0.629640225,-1.004812423,-0.182016003,-1.177997998,-1.747269659,1.170475469,0.14281169
1857,0.052513427,-0.749016999,0.416120733,-0.305853086,0.63191777,-1.247307435,-1.515599448,0.039207548,0.053605598,0.581711177,-0.293018873,0.711360587,-0.724735346,-0.035999514,-1.067591786,0.956263102
1858,-0.131086862,-0.610790085,0.085045993,-0.258841966,2.442921565,0.746705743,0.194163036,-0.256946949,-0.468518515,-1.059930045,1.063979995,1.09266845,0.112765323,-1.479502568,0.169020675,0.053065466
1859,-0.41148113,-1.274243644,0.787418988,0.405866811,-0.667706211,2.014997027,0.377745786,0.33220357,-0.479305148,1.280011202,-1.286485576,-2.626091055,0.517038919,0.222127086,1.221662284,-1.348089214
1860,0.814928024,-0.532838236,2.008902293,0.883073906,0.756753696,0.77062792,0.030496219,-0.246755834,1.450620195,0.296116704,0.533616909,-0.082660089,-0.159241551,-0.630977341,-0.249695436,0.898277162
1861,-1.611857223,1.315116604,-0.168331477,1.275926972,-0.975550474,2.364261841,-0.18543294,0.540749712,-1.109300235,0.928395342,-0.984063213,-0.424642914,1.218936257,-0.444999912,-0.467356951,-1.241212799
1862,1.049167975,-0.421031323,1.559030012,-1.477663399,-0.772454634,-0.479456622,-1.136763546,-0.471920596,-0.013698414,1.01123437,0.940947859,1.142862495,0.194598665,-0.711060104,0.528598749,0.630706882
1863,0.216551399,-0.806069281,1.051784624,0.902393771,1.277169931,-0.092250247,0.17390656,-0.882397682,-0.560851488,-0.416398043,-1.230645441,2.356779682,-0.456534554,-0.216218328,0.943183215,0.114472822
1864,-0.766395479,-0.706858997,-1.033705709,-0.45356404,-0.048742816,1.869078878,0.22650728,1.42195046,-0.912367406,-0.959038877,-0.545282937,-0.013547196,0.9175392,0.709128444,-0.228827628,0.761389724
1865,-0.430256453,-0.946927297,-0.544762082,0.226499554,1.813164365,0.590641017,-0.734624806,-0.256917483,-1.214081343,-2.094964876,1.925678387,-1.093687426,0.141192705,-0.194221046,0.347577382,-1.335388654
1866,0.526489614,-1.28130706,-1.018753606,-1.780948109,0.139640844,0.490425073,-1.614689278,-0.240752309,-1.06035003,0.349472285,0.950289428,-0.078762106,-1.218832259,-0.351722876,-0.143727179,-0.851303898
1867,-1.839006167,0.013624358,0.606722035,-1.225970949,-0.75456768,-0.205181256,0.386707895,0.605938587,1.00242701,0.845470006,1.19851387,0.450343806,1.930980336,0.612305567,-0.077915333,-1.601666035
1868,-0.241841314,-0.50921374,-0.007399375,-1.197376109,-1.351557185,0.531908507,1.027583125,0.274854761,-0.106719843,0.990042777,1.607927109,-0.729401666,2.307080028,0.325580454,-1.573737412,0.007361616
1869,0.607334504,-0.170612392,-0.22722235,-1.843317905,-0.235433872,-0.561975565,0.329472504,-0.649294833,-0.324606568,0.091682017,2.158821959,-0.491439058,-0.274359415,1.723625712,-0.798960319,0.758248992
1870,-0.23343423,0.811720241,-0.686491332,-0.402347325,-0.18880479,-0.848083739,1.845014338,1.342402678,0.783076675,-0.932403241,-0.414863362,-1.500930732,-1.841313471,-0.625033905,1.770107542,-0.59960764
1871,0.910246024,1.267838476,-2.24870759,-0.321206951,-0.567805049,1.158009836,2.340582138,-1.221110112,-0.158488716,0.048824957,-1.178522692,-0.22306805,0.711712697,-1.254843967,0.70398575,-0.424575705
1872,-0.117137106,-0.827839678,0.67190436,-0.582049896,1.159210516,0.827936451,-0.092617724,-0.479431404,-1.177466638,0.545208099,-0.887971027,-0.082870883,-0.548475475,0.595772939,-0.800501993,-0.427003969
1873,-0.538899059,-0.291750506,0.924850258,0.247934679,0.71866363,0.019678521,-1.693576666,1.714364382,-0.508379576,1.384945213,-0.675241031,0.631181319,0.431500928,-1.18830464,0.52505457,-1.453233398
1874,-0.743557138,-0.898297673,2.583039363,1.099189974,1.163664695,-0.53860183,-0.69637115,-0.022298654,0.263419332,-0.345079892,0.097773049,0.273161092,-2.244914536,-0.631265082,-0.814525357,-0.132561946
1875,-0.909561207,-0.154617194,-0.577638385,-1.016382771,0.52600162,-1.080249516,-0.555016426,0.098841317,0.003458804,1.669723978,-1.104459491,1.995219595,-0.832937885,-0.275683666,1.020387447,-1.431457169
1876,1.425102039,-0.581214247,-0.795892934,-1.374799826,1.177360054,-2.674594816,2.375388823,-0.714063694,0.370770952,1.189999941,-0.847852389,0.656840727,0.867257396,0.614854425,1.844870881,-0.090397104
1877,-0.530429509,2.087595054,-1.1974053,-0.165984088,0.266950978,-2.042736672,1.681736365,-0.390609658,0.794215826,0.400818319,-0.485751594,0.686210387,0.915919567,0.954833474,-1.463582909,0.959120914
1878,-1.293640631,-2.790042682,-1.07773768,-0.016755469,0.010731491,-1.788602575,-0.311599587,0.771039541,-0.829001416,-1.100776848,0.367058327,0.822565273,-0.473982924,1.2579772,-0.80845766,0.603992269
1879,-0.956227186,-0.799192139,-0.47591099,0.617507621,-1.39879805,0.069549109,-0.092705656,0.770563431,0.898867896,-0.15627044,0.319839524,0.801063474,-1.479364502,0.424945505,-0.686173407,-0.124930214
1880,0.217801098,-0.058173418,-0.418772129,0.453512188,-0.848524686,-0.637121532,-0.180510315,-0.488691501,0.823585758,0.729436713,-1.81950189,-0.127611313,-0.72258046,2.174200073,1.512268272,-1.554124955
1881,0.333145527,-1.619952287,1.256165244,-0.475529315,-0.218379068,-0.888644528,1.134370138,-0.764509294,-0.228045377,0.91100859,1.631312103,1.230635807,-0.684905031,-2.072754201,0.521366445,-1.121120838
1882,-0.796658409,2.733705203,-0.738086955,0.377498877,0.121972991,0.900156976,1.634591446,-0.543901146,1.793363992,0.491362049,0.018829567,0.506130534,1.397774787,-0.581841365,-0.234277383,0.478986852
1883,-1.410214245,2.242148073,1.803457698,-1.003039401,1.64576051,-0.658580476,0.618742219,0.562554198,-0.246977749,1.589107968,-0.692979274,-1.910965177,-0.283433446,0.85920296,2.189490402,0.548582393
1884,-0.391995617,0.499055643,0.32479322,0.045262719,-1.267828516,0.535307736,0.371326775,0.417987913,-0.555252018,1.889560399,-0.558239989,0.750095461,0.756562652,1.135327725,-0.134207907,-0.190287655
1885,-1.09276383,1.089461335,-0.478748884,0.743688833,-0.796097714,-1.663522237,0.63177172,0.200882705,-1.110823696,1.017154557,0.9684512,0.355097936,-0.889832809,0.828815986,-1.088402518,0.146735462
1886,-0.478478789,-0.2130783,-0.757521777,-0.349667862,0.816016005,-0.405716504,-0.55919648,-0.821573519,-1.249056871,0.5290957,-0.255687419,0.088982738,-0.781815739,0.271015811,-2.905759327,0.403087699
1887,0.482654095,0.266326278,-0.561528757,-0.078517581,-0.349642956,0.64412895,-0.317544574,-1.510592571,0.776853262,0.094500067,1.470199367,0.985994784,1.336290559,0.668381916,-0.28952314,0.614808846
1888,1.312791839,0.77080567,-1.946244891,-1.063741117,1.031019413,0.56732358,-1.183018423,0.864628114,-0.08511654,-0.419334477,0.058075022,1.062950252,0.483218075,0.132783387,-0.686975008,1.474061445
1889,1.247468408,1.130831555,0.053740191,0.189635973,-1.083275072,0.012711038,0.362196464,0.815283001,0.015835962,1.090379825,-0.841162627,-0.898515038,-1.745916181,0.85153812,0.870819726,1.00779294
1890,-0.650304191,-0.023664853,-0.479970506,0.374301742,-0.101301936,0.371031961,0.730887195,1.077092733,-1.035191288,-0.019621422,-0.86685354,-0.427388434,-0.44974219,-0.556037299,-1.17212662,0.077487756
1891,-0.167479912,-0.966263401,-1.101519683,-0.864610714,-1.050454966,-0.885961298,0.250508903,0.023743669,-0.918848286,0.631909825,-0.421248553,0.3818755,-0.478837501,-0.197827019,-2.077029286,-1.102134576
1892,3.391455371,-0.379725244,1.028136573,2.087095558,0.575437514,0.46034526,1.518269579,-1.711952393,0.82384602,0.184582726,-1.419168467,-1.243310425,-0.00743397,0.298846717,-0.837457033,-0.424005263
1893,0.575841011,1.272941795,0.496783269,0.405509504,-0.31443269,0.262762319,-1.123105857,-0.636753743,1.984826943,-0.35841208,-1.525833654,0.092460505,0.306391204,-0.746978009,0.454045548,-1.361921977
1894,-0.792105957,0.385479242,-1.392907019,-1.895760866,0.740414416,-0.205265906,1.858709771,1.296545992,2.335849906,-1.029452635,-0.632137402,0.307540143,-1.159106618,-1.844207804,-0.641351409,-0.855558724
