years,model1,model2,model3,model4,model5,model6,model7,model8,model9,model10,model11,model12,model13,model14,model15,model16
1850,417.3839269911696,473.39096659607094,1019.1567634086823,592.2231964679668,116.98588408198702,960.2459347676643,122.38581249762319,334.6249569623865,520.8684778730585,407.59967784933906,499.5491956884507,1306.3666650792584,894.9450941239775,1189.0509585704422,1819.072621531086,887.907566170179
1851,602.4731346540648,383.376615285373,1133.5147209625575,564.3701506134676,130.11020245994587,915.1767436585942,337.047944651556,354.4431889591806,808.787338781076,317.9343669348782,493.0507192440018,1539.306307293009,1036.1662933828484,855.3720848231023,2406.5905285533518,687.4527993924403
1852,662.5907179062779,545.5714279889321,931.5218089162954,493.7349546797236,154.78567099207794,990.0613281512051,299.3359655630229,473.02408965870666,779.2836820688535,362.20527774553375,471.6303254092054,1592.9100728040794,976.3716793939238,1198.451330496664,2113.384852395393,486.2912849530403
1853,602.4443612535833,270.33273838837886,979.3203412787989,735.8274962258292,161.63121732024592,967.4964390047535,415.4554727035702,145.66092336017215,613.3490546708344,624.6455817941751,505.0499776428296,1685.571480965882,734.742702104495,924.3057905870955,2208.0465535400435,507.7441164510674
1854,217.41027944717644,263.4463320417126,874.334104047739,563.4776572558621,104.83774419162728,871.5153662131343,328.8126993386868,322.1317884278051,586.0276893348782,414.95585983798264,425.0382969388738,1256.352726125624,806.489663006505,1244.5070382178528,2403.1239949457813,310.32666831788447
1855,608.2943145142053,448.21800593445005,1150.76123229519,578.7111174707206,114.22982046969992,804.5634071685072,267.433271968639,384.7417313857477,662.911104410523,583.1819326791219,548.0993447632727,1467.4683980934788,760.6094400092843,1201.6219208773691,2241.061344888294,672.0394013314035
1856,347.0970280410256,398.32730018337656,859.2342018433555,592.9781989107141,118.0042102239895,925.0577772669842,174.7299339268011,154.00937606127627,469.9540763445839,515.604708641331,659.638058911969,1456.9578699592967,885.3453824463941,1018.6862841976108,1826.1785532406066,808.7702278869983
1857,373.545690861647,551.6164491264135,1050.4285281174816,447.4580875423352,191.76138698398972,1079.4706091029184,208.59800571706728,230.080122986611,632.6121482492454,477.7079543182481,475.8557335500882,1374.699925276218,930.6798918412824,982.8420072473818,2013.8207379088271,595.5801204115232
1858,456.73041713016573,411.3918287512853,1128.902427147841,490.78987715765834,244.50315390295145,786.9078105535664,521.8459077239459,235.64451511975903,784.722584725796,408.48232462103624,545.0350651732151,1205.2922452159692,1338.4767941082828,974.7229669243097,2160.2592558483593,852.3099560672563
1859,487.90741595003055,277.2309414955032,920.9456807337119,532.1010058636602,106.6672598648438,821.600526817474,275.6036779334863,85.26449058847447,814.0129123825353,743.0945525364223,706.6570806273376,1305.0270088599063,1206.9468407993554,1227.1607284754282,2265.6222794554196,786.6842146725048
1860,394.44682368066424,216.02298730008442,752.211675428407,484.60967819228244,118.62881759730044,850.7972283434356,305.23116268595913,302.7762246672012,848.2038889971591,661.2555884794347,733.4123194668791,1330.5524794093799,1154.4287448719842,1251.7841501306975,1935.7266392034944,499.55320430284473
1861,420.309645596717,442.8714293401299,826.1543745946256,580.1557797419264,86.75383220142976,967.8988719532356,300.8416170165219,268.14825106664557,618.4066123256343,500.11180162837263,638.102419864299,1375.3612477710703,1066.045484553615,1061.472934082849,1721.7842827085406,413.05819606159275
